id1,id2,weight
frigorífero,estabelecimento,1
orangotango,maneira,1
quiabo,fruto,1
beneficência,boa,1
esporro,tropel,1
ás,missiva,1
animação,divisão,1
erário,dinheiro,1
assalto,ataque,1
dilatação,ação,1
linha,serviço,1
modalidade,modo,1
grumete,aprendiz,1
escudela,tigela,1
cipoal,mata,1
vazão,juízo,1
juramento,chamada,1
facho,clarão,1
futuro,sorte,1
pandemônio,lugar,1
carretel,espaço,1
anca,quadril,1
facção,gente,1
bigamia,modo,1
túnel,espaço,1
vegetação,ato,1
fuzuê,acontecimento,1
exu,designação,1
bufê,coisa,1
monitor,unidade,1
macaco,talento,1
boneco,forma,1
guarani,indivíduo,1
lote,casa,1
lírica,flexão,1
rua,espaço,1
melodrama,parte,1
remela,assunto,1
cartomante,caso,1
incidência,encontro,1
acompanhamento,juízo,1
identificação,juízo,1
oscitação,ato,1
orquestra,grupo,1
timbre,sinal,1
agricultor,lavrador,1
espectroscopia,análise,1
escada,seguimento,1
obra,aplicação,1
reclusão,ação,1
lordose,arquitetura,1
semideus,homem,1
saponáceo,essência,1
canastra,cesto,1
documento,declaração,1
alicate,meio,1
tâmara,órgão,1
simplismo,emprego,1
interpretação,atividade,1
padecimento,ação,1
genealogia,ato,1
deposição,ato,1
taticografia,exibição,1
cargo,espetáculo,1
palco,armação,1
escaldura,atividade,1
greta,fenda,1
barometria,operação,1
farofa,farinha,1
otorrinolaringologia,divisão,1
manipulação,argumento,1
artilheiro,arsenal,1
estadista,homem,1
refeitório,peça,1
eldorado,terra,1
maometismo,religião,1
tamarindo,fruto,1
estréia,emprego,1
lapa,corpo,1
dessecação,divisão,1
simulacro,aspecto,1
farda,certeza,1
serralheiro,convite,1
seara,motivo,1
couraça,estrutura,1
consumição,ação,1
idade,espetáculo,1
cara,rosto,1
lombo,caso,1
canela,parte,1
raspagem,ato,1
encanamento,juízo,1
bombeiro,lida,1
crisma,juramento,1
fanatismo,admiração,1
metrificação,força,1
muralha,muro,1
rosto,fisionomia,1
passagem,ação,1
barraca,cobertura,1
giro,circulação,1
pasta,carteira,1
afirmativa,depoimento,1
fórmula,uso,1
fuzil,arma,1
sacrário,espaço,1
ditado,felicidade,1
caiçara,caipira,1
inimizade,falta,1
enciclopédia,obra,1
mama,seio,1
brilhantismo,esplendor,1
imoralidade,carência,1
correlação,analogia,1
estopim,feixe,1
boliche,folguedo,1
desmembramento,ato,1
despautério,qualidade,1
guerrilha,tropa,1
hiato,abertura,1
ingratidão,erro,1
autoconfiança,intimidade,1
carboidrato,arte,1
coque,título,1
nata,nata,1
merecimento,coisa,1
generalidade,determinação,1
molhadela,ato,1
cardo,erro,1
traseira,parte,1
membrana,tecido,1
cardiopatia,nome,1
autêntica,certidão,1
crueldade,ato,1
partitura,sistema,1
